Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
237;1572.1370203495026;971.3481056766159;801.7253508298568;801.3624536304847;796.1160604912477
238;1582.6700592041016;971.3481056766159;855.0299487040116;807.4705629017344;775.9549321558421
239;1592.32057929039;971.3481056766159;783.1001716607004;779.5596410751671;774.7488040664924
240;1603.047941684723;971.3481056766159;892.5574290875038;847.0268824029548;839.1477722623044
241;1612.3034727573395;971.3481056766159;798.955535759127;789.3289129809716;784.2171900787242
242;1622.672517299652;971.3481056766159;860.4832351348866;837.3524067650598;830.9677981166432
243;1632.8312847614288;971.3481056766159;825.9463602346169;789.0551985176594;769.0629782629596
244;1641.616661310196;971.3481056766159;833.455014572328;827.7616436521713;819.630540135121
245;1651.0813314914703;971.3481056766159;865.5062062201017;794.2058894818529;768.0190067083697
246;1663.0294165611267;971.3481056766159;868.8513408132911;847.3092719300009;824.7160624789909
247;1671.9851558208466;971.3481056766159;862.9004376636645;802.1522702071672;776.4679741725492
248;1681.3864152431488;971.3481056766159;812.0863097950133;783.9627527543585;777.3757584016462
249;1692.0178859233856;971.3481056766159;946.4597452186023;830.8540954257473;817.916089379516
250;1702.54354929924;971.3481056766159;874.5955699488197;835.2734547298389;819.5967709185283
251;1710.8935663700104;971.3481056766159;811.9923596986514;784.0722647787225;773.0885702399029
252;1719.4941487312317;971.3481056766159;777.1229506912496;775.6714881926301;764.6218442069172
253;1728.5300040245056;971.3481056766159;823.295966390775;796.9478596440745;795.0138544437348
254;1737.631672859192;971.3481056766159;807.8020174286002;796.0950961133927;782.5079195553276
255;1746.2899298667908;971.3481056766159;812.0651781843344;774.1783703945096;772.4432907289156
256;1755.8359289169312;971.3481056766159;833.4460411650103;799.1132254325619;788.0825412056963
257;1764.7519087791443;971.3481056766159;854.978107545497;826.4977643007888;821.145721430936
258;1774.4320826530457;971.3481056766159;793.9189842590463;778.2738173530805;776.4450570702114
259;1784.228446483612;971.3481056766159;919.1647391066178;837.6310101717397;820.5986111226757
260;1793.428760766983;971.3481056766159;861.3142631820173;856.7160374830216;835.9737866358121
261;1801.440482378006;971.3481056766159;872.8056270508091;864.610362352094;822.9638501791985
262;1810.6839773654938;971.3481056766159;832.3965756748415;824.7432813172743;803.6894950113953
263;1820.9411270618439;971.3481056766159;959.6803063824088;876.4634115462443;869.4246482372076
264;1831.088562965393;971.3481056766159;864.4998606469894;816.7836755275921;778.786400109685
265;1840.9224364757538;971.3481056766159;826.9394983552044;788.2316415067796;747.0140612507894
266;1848.864144563675;971.3481056766159;846.7676622235034;846.2980030736877;800.4724054136515
267;1857.294338941574;971.3481056766159;819.4478084433116;814.6874336519008;808.949282511468
268;1865.7753810882568;971.3481056766159;799.6821678038222;794.0444821797479;787.3861528463432
269;1874.1283738613129;971.3481056766159;832.2396284846666;824.1658022223035;789.1735675757294
270;1883.447990179062;971.3481056766159;818.2174083020927;817.5726683532246;780.1515412865754
271;1891.774878025055;971.3481056766159;846.2681961213234;828.8215988279824;782.6780203596851
272;1899.75301527977;971.3481056766159;905.6958698830983;844.3106232706693;838.4486507023227
273;1908.2562572956085;971.3481056766159;842.4522169905191;835.8031049922287;831.2495978130346
274;1916.2414648532867;971.3481056766159;912.062338751934;844.1019343169708;799.3561776834397
275;1924.3719573020935;971.3481056766159;824.9861202847537;804.382223217478;793.5692749380094
276;1931.1373505592346;971.3481056766159;838.7547137254493;802.0646173340551;778.9153534054651
277;1939.6262917518616;971.3481056766159;812.1196496513253;807.7160447192075;801.7278332541097
278;1948.5108001232147;971.3481056766159;895.0626509670644;887.9858807371495;823.0862694428652
279;1955.1525168418884;971.3481056766159;872.8983752828069;791.3106980028704;786.7506791892993
280;1962.2907350063324;971.3481056766159;833.2343013027712;805.0382038004084;803.2625313338134
281;1971.153371810913;971.3481056766159;839.4442416882927;825.0254544634677;820.0163440728644
282;1978.9080662727356;971.3481056766159;797.9734317104715;796.6327107763099;794.2832346995623
283;1987.6049311161041;971.3481056766159;799.776069985172;792.973435298135;780.3907568001832
284;1995.7446007728577;971.3481056766159;885.8305741026936;830.2412237200354;785.9290640997197
285;2003.9782090187073;971.3481056766159;810.9062632210953;787.4868858525539;785.0085793591717
286;2013.5141053199768;971.3481056766159;837.5818848246539;803.8655015231686;782.8543061509375
287;2022.806048154831;971.3481056766159;915.3146365514519;848.8639316731894;803.1726611969702
288;2032.3049314022064;971.3481056766159;794.6315352746083;788.7133305810224;786.6265109550358
289;2039.686270236969;971.3481056766159;877.2100189884484;843.0311169238913;816.0970942017291
290;2046.7184953689575;971.3481056766159;829.7852259566101;765.1777601803665;750.4292582803903
291;2053.7923855781555;971.3481056766159;840.1656619471254;801.0133068101221;767.4974024284728
292;2060.263659954071;971.3481056766159;816.561608791494;799.9524195018105;792.8307576481301
293;2069.0598106384277;971.3481056766159;828.2603606504767;822.4473205037639;793.9809453292843
294;2076.9322197437286;971.3481056766159;863.30975904307;795.0988210529148;792.058723919068
295;2084.958615064621;971.3481056766159;788.2136756087482;777.9205575962128;759.2459962781044
296;2091.9810931682587;971.3481056766159;870.9423034538415;761.0617270486913;750.409122079494
297;2100.8969588279724;971.3481056766159;847.2717104211413;785.794570657439;784.6836813539699
298;2110.540907382965;971.3481056766159;817.337231329838;805.5795718329514;797.3521614493087
299;2120.7092814445496;971.3481056766159;928.1303397691082;880.3513507790165;781.6814718543596
300;2129.4814081192017;971.3481056766159;881.9121449405866;864.7397071287435;831.1660429176662
301;2137.6287772655487;971.3481056766159;828.8638897855247;780.6766830617169;777.4960642121757
302;2147.116879224777;971.3481056766159;814.5886919493703;783.6913627954215;783.2576093707485
303;2155.7806169986725;971.3481056766159;872.9520738926926;852.8343043845243;814.0450713850736
304;2163.540043115616;971.3481056766159;803.9650069972014;803.464034273875;798.603604581993
305;2171.325851917267;971.3481056766159;837.3916430434693;811.218972773665;724.6098966531749
